Resp,Age,Use,CloudNum,Info,SecNum,BC,Aware,AC,FutureUse,Guide,PCA1,PCA2,KClusters,Index,NegNeg,NegPos,PosPos,PosNeg
1,19-24,Yes,3,Business,1,5,No,7,Yes,Yes,-0.523052379,-1.32518234,0,1,1,,,
2,31-35,Yes,1,Business,0,7,No,6,Maybe,Yes,0.686828814,0.004660556,2,2,,,1,
3,19-24,Yes,1,Personal,0,6,Yes,5,No,Maybe,0.012824394,1.42587823,2,3,,,1,
4,19-24,Yes,3,Personal,0,5,Yes,7,Maybe,Yes,-0.662204945,-0.250408999,0,4,1,,,
5,19-24,Yes,2,Personal,1,7,Yes,8,Yes,Yes,-1.023661431,-1.580251896,0,5,1,,,
6,25-30,Yes,1,Personal,1,6,Yes,6,Maybe,Maybe,-0.035953946,1.708195345,2,6,,1,,
7,31-35,No,1,Other,0,1,Yes,1,Yes,Maybe,4.047623294,1.908769781,1,7,,,1,
8,40+,Yes,0,Personal,0,6,Yes,6,Maybe,Yes,1.141779621,0.004660556,2,8,,,1,
9,19-24,Yes,3,Personal,0,6,Yes,6,Maybe,Yes,-0.865782975,0.004660556,0,9,,1,,
10,19-24,Yes,1,Business,0,8,Yes,8,Yes,Yes,0.138425013,-1.580251896,0,10,,,,1
11,19-24,Yes,1,Personal,0,4,Yes,4,Maybe,Yes,0.419980453,0.514799667,2,11,,,1,
12,19-24,Yes,2,Personal,3,10,Yes,5,No,Yes,-2.421603741,-0.277656559,0,12,1,,,
13,19-24,Yes,1,Personal,3,7,Yes,8,Yes,Yes,-1.371565969,-1.580251896,0,13,1,,,
14,25-30,Yes,2,Business,0,5,No,5,No,No,0.654681188,1.42587823,2,14,,,1,
15,25-30,Yes,4,Personal,2,7,Yes,6,Yes,Maybe,-1.95104714,0.633422004,0,15,,1,,
16,19-24,Yes,3,Personal,1,7,Yes,7,Yes,Yes,-1.462965115,-1.32518234,0,16,1,,,
